Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",1/19/2017,lyrica,93965,1,1,"The third day on very low dose of Lyrica I went into a drug store to pick up a couple items.  I started feeling extremely strange.  I looked left, then right and the last thought I had was ""I need to tell someone"".  I awoke in the hospital and didn't remember anything.  I went back and got my medical records.  I had taken my clothes off in CVS, was talking crazy and paramedics were called.  Evidently I became very violent and ended up with two black eyes with cuts and scrapes.  Like I said I don't remember thank God.  I never took it again and this has never happened again.  Medical staff think it caused a seizure.",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",4
55-64,Diabetic Complication causing Injury to some Body Nerves,1/14/2017,lyrica,93965,4,2,"http://medcureusa.org/clinical-research-finds-neurontin-and-lyrica-are-a-death-sentence-for-new-brain-synapses/ 
You may want to ask your doctor how safe this drug is to use. ",2,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
55-64,Nerve Pain after Herpes,1/7/2017,lyrica,93965,4,4,"Dr. started me on Lyrica for pain from Shingles on my right shoulder blade and under my right breast. Have been on med. for 1 1/2 months. Started with 150mg twice a day, increased to 300mg twice a day. After 4 days on the high dosage, pain lessened. Now taking 150mg 3 times a day. Have unsteadiness at times, and memory problems, however, it does help me sleep. ",5, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
55-64,Neuropathic Pain,12/22/2016,lyrica,93965,2,2,"Was taking oxcarbazapine for diagnosed peripheral neuropathy. My doctor thought I might benefit from Lyrica. Developed muscle pain and weakness, enlarged and tender breast tissue, poor control of neuro pain.",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",15
65-74,"Disorder characterized by Stiff, Tender & Painful Muscles",12/16/2016,lyrica,93965,3,3,"I have Fibromyalgia and Chronic Fatigue syndrome as well as other conditions.  After a week, I began to GAIN WEIGHT, lots of weight, the gain was eventually about a pound a day, as the weight gain continues for a time after you stop. IF YOU HAVE TROUBLE WITH WEIGH, DO NOT TAKE THIS DRUG!! the drug ads usually do not tell you that this is the most devastating symptom. Combining this with Prednisone or any other CORTISONE, oral, injected, nasal or even for a rash caused me to gain 100 lbs. on a 1200 calorie diet with light exercise.",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
55-64,Nerve Pain from Spinal Cord Injury,12/12/2016,lyrica,93965,5,5,"I have been taking this drug for the past 2 1/2 years. And yes, I had really bad balance issue's in the beginning every once in awhile still do mostly right after I take the medicine. The memory lose is still bad, but I'm willing to deal with the negative side effects then to not be able to get up in the morning to do a thing. First two years after my spinal cord surgery was not active at all mostly laid in the bed all the time due to the pain. Now at least I'm able to get up in the morning get some things done around the house, take my dog out. So I'm not complaining. The drug isn't cheap either and if I did not have health insurance their would be no way I could afford to buy it!!",3, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
65-74,Nerve Pain from Spinal Cord Injury,12/10/2016,lyrica,93965,4,4,"Taking 300mg/2x a day. First week I felt so ""stoned"" I couldn't drive.  First 6 months I felt great, so I started working out.  At 55 I was stronger than any time in my life, but I overdid it. Working out hid the weight gain of 20 lbs.   11 yrs. later I'm still on it.  Not as effective, but better than anything else.  Tried getting off it.  8 wks later pain and nightmares.  Chemical addiction I was told by my company doctor.  Excercise and Lyrica help, but don't do anything to compress the spine.  The weight gain didn't come from changing my eating habits, so eat ""healthier"" and less to try to control the weight.  Take the minimum dosage you need for pain.  My nuerologist put me on 600 mg/day righy away.  My whole body was numb to pain.  It is a medication for a lifrtime for me, like it or not.  ",2, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",5
55-64,Neuropathic Pain,11/13/2016,lyrica,93965,1,1,"I have Fibromyalgia and severe neuropathy as well as sciatic pain, back pain. I was given Lyrica to try starting at 50mg twice a day. It helped at first but then gained 8 lbs first week. Swelling of hands is beyond extreme. It causes pain and can't sleep at night or relax. Legs and feet swelling also. Suicidal thoughts, blurred vision,and extreme dry mouth that causes sores in mouth. I just can't use this ""wonder"" drug so it's back to square one for me.",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",42
65-74,"Disorder characterized by Stiff, Tender & Painful Muscles",10/27/2016,lyrica,93965,4,4,"If I miss taking lyrica (150) at night, my pain becomes unbearable. I don't know if it's withdrawal or my fibromyalgia is that bad.",4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",2
45-54,Neuropathic Pain,10/27/2016,lyrica,93965,5,1,I have severe neuropathy from Diabetes in my feet mainly.  I am taking 600 mg of Lyrica daily and have felt no relief at all. I am at a loss as to where to turn now for pain relief.. its very disheartening.,1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",28
55-64,Other,10/7/2016,lyrica,93965,3,1,"TOOK THIS MEDICATION FOR FIBRO, DID NOTHING FOR ME, NO MAJOR PHYSICALLY SIDE AFFECTS, DID AFFECT MY MOOD, MADE ME ANGRY AND AFFECTED MY MEMORY.  ",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",4
65-74,Repeated Episodes of Anxiety,9/18/2016,lyrica,93965,1,1,"This drug was prescribed for severe arthritis, 75 mg. I am bipolar and the side effects mirror those symptoms. I consider it medical malpractice to have provided me essentially an anti-epilepsy medication and if I could sue the doctor (I am in Spain), I would!",1,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
45-54,"Disorder characterized by Stiff, Tender & Painful Muscles",9/18/2016,lyrica,93965,1,1,Have Fibromyalgia.  So disappointed.  Took pain away. After 3rd day of taking it hadvto stop. Extreme dizziness and severe blurred vision to the point of vomiting continually. Wanted pain relief but not at this cost. Expensive as well.  Just threw away money. Disappointed...,1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
45-54,Nerve Pain from Spinal Cord Injury,9/10/2016,lyrica,93965,4,4,"I also have rsd. I have only been on this for a few weeks and so far, this medicine has given me more energy and my pain has been better so far. They say I still need surgery for neck spinal, but right now I have felt better than I have in a while. Thanks and I hope this keeps helping me!",4, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",4
45-54,Neuropathic Pain,9/5/2016,lyrica,93965,5,5,"I just started taking Lyrica 75 twice daily, but my stomach couldn't tolerate the this regimen, so now taking it in morning, after taking Neurotin for many years. Love the pain relief, it has caused the pain to decrease significally. The price scares me, don't know if I can continue to purchase Lyrica. The side effects I have, swelling on arms and legs, (espically arms) red color on both arms. Skin is warm to touch, and feels warms too on both lower arms, from elbow to wrists, and because of this can't wear my watch now. Still trying to figure if I can tolerate the swelling and redness, but I'll try.",3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",36
55-64,Neuropathic Pain,8/26/2016,lyrica,93965,5,5,I've been taking Lyrica for a couple of months. It works great but I have gained a lot of weight and my hands and feet swell. I am now tapering off the Lyrica. It's to bad about the side effects because it did work for my pain issues. ,2,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",40
55-64,Neuropathic Pain,8/14/2016,lyrica,93965,5,5,I take 100 mg at bedtime and it works within 15-20 minutes and it's amazing!  I have severe diabetic neuropathy in legs and arms as well as nerve compression and I prefer Lyrica to oxycodone.  No side effects noted as I already have balance issues from the CNS damage of 46 yrs of diabetes.,5, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",25
55-64,Neuropathic Pain,8/9/2016,lyrica,93965,2,2,"Severe edema in limbs, causing more pain than it was worth taking this drug.  ",2,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",12
75 or over,Diabetic Complication causing Injury to some Body Nerves,7/18/2016,lyrica,93965,3,3,I am having leg swelling and let strength problems,3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
45-54,Nerve Pain from Spinal Cord Injury,7/14/2016,lyrica,93965,3,3,"Anyone who has taken this medication (my dose is 300mg/2x daily more than 6 years) knows that Lyrica works wonders for about 3 weeks then it has no positive affect at all. I could take a handful, 1200mg whatever and nothing. I must take a Lyrica ""holiday"" 1 week every month then start over the 1st of the following month. This also eliminates the dependency issue and mediates the weight gain. I was forced to figure this out on my own since the manufacturer doesn't want to publicize the fact that you will build such a tolerance so quickly that the drug becomes useless after the 3 weeks have passed. I have tried many options but the 1 week holiday each month really works! Blurred vision, clumsiness and general word loss is unavoidable for the first week or so.  ",3, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",5
45-54,Neuropathic Pain,7/10/2016,lyrica,93965,5,5,"Take Lyrica for fibromyalgia. Works great for the pain. However the side effects of weight gain are horrible!!!! In 2 months have gained 20 pounds!! My ankles swell, my eyes are puffy, just aweful. Then there is the memory problems. Can't find words when talking and super forgetful. Also balance problems, unsteady on my feet. Yes it was great for my pain but I am getting so fat and puffy it isn't worth it. HATE this med! I have to stop taking it, find a way to lose weight and alternative solution to my pain. DON'T TAKE LYRICA. That's my opinion!!!",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",60
45-54,Nerve Pain from Spinal Cord Injury,7/8/2016,lyrica,93965,4,3,"I have been taking for 24 months, I have got moodiness and poor sleep, But overall it has helped me greatly with my daily living.  ",4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
55-64,Other,6/24/2016,lyrica,93965,5,5,"I have spinal stenosis and all of a sudden, my nerves were on fire. After a month of different pain meds, my doctor prescribed Lyrica and Percocet and I'm sleeping through the night for the first time in a month. Am going to see orthopedic doctors soon to see if something can be done with nerve/back pain, but Lyrica is like a miracle drug.

",5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
65-74,Nerve Pain from Spinal Cord Injury,6/8/2016,lyrica,93965,5,5,I've been on 100 mg 2 x daily for three months with total relief from extreme pain down both legs from spinal stenosis. I now am being weaned from it because of uncontrolled horrific leg cramps and a change in kidney function.,1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",4
25-34,Neuropathic Pain,6/3/2016,lyrica,93965,4,5,Seriously affects my ability to communicate effectively random words in sentances but it worked wonders for the pain.,4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",30
55-64,Neuropathic Pain,5/28/2016,lyrica,93965,4,2,"I have been taking Lyric for about 4 months. While it has reduced the pain in my feet somewhat the side effects have not been tolerable. Dizziness, unstable, can't focus, some blurriness, moodiness and depression have made this medication difficult to tolerate. ",1,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",48
55-64,Nerve Pain after Herpes,5/24/2016,lyrica,93965,4,4,"I have post herpetic pain.  Lyrica 150MG 2x/day stopped the majority of my pain.  Dr. added 25MG of Amitriptyline and I have been pain free since Aug., 2015. However, over the last few weeks I have begun getting ""zingers"" in my upper teeth on the right.  Seeing my Dr. tomorrow for a follow-up.  Hope this helps someone.  ",4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
55-64,Neuropathic Pain,5/6/2016,lyrica,93965,5,5,"The pain from my peripheral neuropathy was so great, even though I was taking Neurontin. When I switched to Lyrica, I experienced great relief after only a week! I consider it a miracle drug. It cut my pain in half, make life bearable again. My only criticism is that if I forget to take a dose, I get ""withdrawal symptoms."" Diarrhea, headache, ache all over, some nausea.",5, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",61
55-64,Neuropathic Pain,5/5/2016,lyrica,93965,5,5,The Lyrica has opened up my fuzzy brain.  It's like I've been missing my life with all the fuzziness.  It has awakened me so much that I see a clearer view of life and no more tired/sleepiness and no more naps 2-3 X's a day.,5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",50
55-64,Neuropathic Pain,4/23/2016,lyrica,93965,4,4,"I started taking Lyrica for nerve pain. I had severe scoliosis with peripheral neuropathy (legs, feet, arms and hands). I currently take 75 mg 2x a day along with 200 mg of Celebrex for continued back and arthritic pain. I started with 50 mg of Lyrica years ago that really helped my leg/foot pain. About a year ago I was experiencing so much more pain my doc upped me to the 75mg 2x a day. I have been very happy with the pain relief. However, I am very concerned about weight gain and severe and continuing decline in my memory. I am hoping that I can ease off of it. Fingers crossed. ",4, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",43
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",4/16/2016,lyrica,93965,3,3,Terrible twitches/jerks on generalized body thru out day .  I feel like I am in a daze and very difficult to focus.  I am only taking 100mg BID.  I too weaned myself off of Lyrica over 2 weeks and developed 3 weeks of never ending headaches.    Relief wasn't until I restarted Lyrica 50mg.,1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
45-54,Nerve Pain from Spinal Cord Injury,4/12/2016,lyrica,93965,4,4,"Makes me feel dizzy, tired, sleep deeply, blurred vision and light headed",4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",4
75 or over,Neuropathic Pain,4/7/2016,lyrica,93965,1,1,"This medication had extreme side effects so severe I stopped taking after a week.  I was unable to read a book or focus - double vision and floating spots in my eyes.  After stopping medication, vision problems went away after about two weeks.  This is a very expensive medication that I cannot tolerate.  ",1, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",30
45-54,"Disorder characterized by Stiff, Tender & Painful Muscles",3/11/2016,lyrica,93965,5,5,Finally the elusive magic pill. No pain anymore how wonderful.,5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
19-24,"Disorder characterized by Stiff, Tender & Painful Muscles",2/18/2016,lyrica,93965,5,3,I have been frustrated by problems with memory loss and brain fog while on this drug that I did not have prior to. ,2,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
65-74,Nerve Pain from Spinal Cord Injury,2/13/2016,lyrica,93965,1,1,"went onto highest dose per day, made no difference to my pain, made me sleepy all the time, gave me suicidal thoughts, put on 4 kgs ... SHOCKING withdrawal symptoms of headaches and nausea and shaking ...",1,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
25-34,Diabetic Complication causing Injury to some Body Nerves,1/22/2016,lyrica,93965,5,5,"I take this medication for pain in my shoulder from a muscle injury and for Shingles. I started at 25mg, went to 50mg and finally found that 75 mg is the best for me. I did try 100mg and it was to strong. At first taking the medication I exp a strong drowsy feeling and I learned to take this medication at night before bed. It took me about 6-8 weeks to get the full effect. I suggest you take this medication as directed and keep a constant dose of medication in your body to avoid ""running out"". This medication is great and I personally had no other side effects since I take it at night.",5, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
45-54,"Disorder characterized by Stiff, Tender & Painful Muscles",1/13/2016,lyrica,93965,4,4,Since i started taking this i have noticed a difference with the nerve pain i have but it has made me gain weight i get extra hungry for no reason at all I'll be talking to my doctor about this ,2,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
19-24,Neuropathic Pain,1/11/2016,lyrica,93965,5,5,"Resolved mystery pain in wrist after seeking alternative treatment with over a dozen doctors and physical/occupational therapists. My only reasons for discontinued use is price, difficulty losing weight, and desire to reseek alternative treatment for a long term solution other than that of an oral medication.",5, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",36
65-74,Neuropathic Pain,1/10/2016,lyrica,93965,4,4,"Works pretty well on neuropathic pain. Warning! I ran out of it in Gallup, NM, and had to wait to get back to Blanding UT to get a renewal--three days. By then I had a headache like you would not believe. Never had a migraine before but this felt like one. Slightest sliver of light was blinding. In bed for three days. Instantly stopped when I got a refill. Pharmacist had not heard of this reaction.",4, ,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",28
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",1/6/2016,lyrica,93965,5,5,"I used it for about 90 days and regained the conditioning and mobility I needed to exercise, feel better, and eventually lose some weight which helped.",5,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
55-64,Other,12/29/2015,lyrica,93965,5,4,treated for nerve pain from ankle injury 8 operations dose help a lot to ease the pain really very good ,5,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
45-54,Neuropathic Pain,12/11/2015,lyrica,93965,4,1,"I took Lyrica after having side effects from gabapentin. I began to have the same side effects from Lyrica, so I will never take this drug again. I had trouble breathing and swelling all over, including head, neck and throat.",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",26
45-54,"Disorder characterized by Stiff, Tender & Painful Muscles",12/6/2015,lyrica,93965,4,2,"I take Lyrica for fibromyalgia....it worked pretty well at first but it has lessened it's effectiveness as time goes on.
http://www.rapidxray.biz",2,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
65-74,Other,11/30/2015,lyrica,93965,3,3,"I have shingle pain on the left side of my face and eye . I have had the pain now for 14months and I have been taking lyrica all that time 
I do not think it is helping , i sleep for hours during the day as well at night ",3,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
25-34,Other,11/15/2015,lyrica,93965,4,1,I have taken this drug on and off for the past 10 years for fibromyalgia ( along with other meds ) and it has not helped me with pain at all and I have noticed a insane amount of memory loss from this drug. I have experienced a few side affects but nothing to bad. This drug does not work for me and I don't know anyone that this drug has worked for with fibromyalgia,1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",11/14/2015,lyrica,93965,4,3,"I've been taking Lyrica for 3 days now, after taking gabapentin and duloxetine.  One of them caused me to break out with hives which lasted about 2 weeks, I also was not able to have an orgasm which drove me man crazy. So far relief is mild Im only taking 25 mg for the first two weeks then will take 2 for the last 2 weeks.  I will then decide if I want to continue with this stuff.  I took Tramadol for about 3 years, don't remember any side effects.  I know I was able to make it to work and back. Now they say its a narcotic and the do not want Dr's prescribing it anymore.  It was much better than this Lyrica. Just finished reading the horror stories.  Don't think Ill take this for too long. I am using a portable tens unit on my back and am trying accupncture.  People should try it it helps me somewhat. ",3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
19-24,Neuropathic Pain,11/11/2015,lyrica,93965,3,4,im takin lyrica for postneuropathic pain feom shingles on the right aide of mii face n it is very affectove helps me get thru mii day tha only thing is wen yhu dnt have it tha pain is hard to deal with so it feels like icnt function without it n im tajin 150 mg twice a day ,4,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",22
45-54,Neuropathic Pain,11/9/2015,lyrica,93965,4,5,"I've had severe back and leg pain for over 15 years. I've been on several narcotic medications for over 10 years and 3 spinal surgeries, This has been like a miracle drug as far as the nerve pain goes. I still need narcotic pain medications for my back, but the Lyrica has helped my leg pain immensely. The only thing is the side effects worry me. Dizziness, blurred vision, weakness, deep, deep sleep, some depression, and WEIGHT GAIN. And I've heard horror stories about getting off this medication. I don't know if I'll ever need to come off of this, unless my insurance stops paying for it. But if and when the time comes, I'm extremely worried :( ",3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",60
55-64,Other,11/9/2015,lyrica,93965,5,5,I have to take this with my Celebrex two of them together work great but recently I seem like I'm so forgetful in a cloud not easy to function sometimes at work. I know I can't just go off it because it does help a lot with the pain and I can't work with the pain. Has anybody else experiencing low concentration suicidal thoughts. I already take antidepressants and my psychiatrist says they don't interact with this but I really feel foggy it's hard to take some days.,3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",1
75 or over,Neuropathic Pain,11/7/2015,lyrica,93965,5,3,"I've taken Lyric two days and I had some relief. The second night was bad, I was so out of it I couldn't wake up. When I did wake I felt like I was drugged and for hours after being up I still felt light headed and sick and weak. I'm stopping until I contact my doctor.      ",2,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",41
55-64,Neuropathic Pain,11/7/2015,lyrica,93965,5,5,I had a thoracic outlet syndrome operation with severe brachial plexis nerve inflammation pain post opt. Lyrica was a miracle and addressed the pain that oxycodone did not. ,5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",23
55-64,Other,11/1/2015,lyrica,93965,3,5,It's given me the most relief from neck and spinal pain. It took me 2 months to get used to it. The expense is high but worth it to me.,4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
35-44,Neuropathic Pain,10/28/2015,lyrica,93965,5,5,"I have read most of the comments and hardly any were good. I have other mental conditions , so I don't have the side effects of this drug. I already suffer from depression and anxiety, so I take pills to control that. This drug has helped me so much I can't believe it. Some days my pain was so bad I could hardly move! I still have some of those days still, but once I take the Lyrica I feel much better. I do get light headed at times and seem to be off balance, but that goes away pretty quickly. They have to keep giving me a higher dosage due to the fact that the effects wear off over time. I am now starting the max dosage they can give me. I will be on 200 mg three times a day, so hopefully this will not wear off like the other dosages. All I can say now I that I am happy with the drug and I hope it will help others to.",5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",48
45-54,Nerve Pain from Spinal Cord Injury,10/21/2015,lyrica,93965,5,5,After continued use it can still offer pain relief if a dosage is missed one day.,5,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",2
19-24,Nerve Pain from Spinal Cord Injury,10/15/2015,lyrica,93965,4,3,"I am currently trying to come off the lyrica, I am having terrible withdrawal symptoms. I haven't been able to eat for three days due to the nausea, I'm depressed and been contemplating suicide. The side effects outweigh the benefits ",1,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",3
55-64,Neuropathic Pain,10/10/2015,lyrica,93965,4,4,"WARNING - TO ALL USERS OF THIS DRUG - IT IS ADDICTIVE.  I stopped taking lyrica, because of the cost and I went into terrible withdrawal - severe headache, nausea, chills, restless legs,anxiety.  I was never made aware of this.  Now I am trying to wean off of this drug. It is a very slow process - go very slowly.  I've deceased my dose by months not by days.  The withdrawal is too horrific.        ",3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",54
55-64,Neuropathic Pain,2/21/2014,lyrica,93965,5,4,Used for pain from pudendal neuropathy.  First thing that has worked at all in almost three years.,5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",18
25-34,Additional Medication to Treat Partial Seizures,11/5/2010,lyrica,93965,5,4,"I have been on some many meds in my life. I got epilepsy when I was 11. I now have top take Keppra , Trileptal, klonopin, lexapro, and lyrica. I don't think any types of side effects have happened to me but I don't have nearly as many seizures. I would love to email back and forth about epilepsy and the medications please anyone I would love to hear from you. It would be greatly appreciated.",5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",5
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",11/4/2010,lyrica,93965,1,1,"taking lyrica was the biggest mistake i have ever done.  this med, amost cause me to totally give up.  i was a zombie.  it took me to the darkest place i have ever been.  since being diagnosed with fibro over 20 years ago, i have taken many different meds and treatments.  but i feel i really need to let people know, if they are going to try this med to be very careful.  and it really changes you and you are not even aware the changes are happening until it is almost too late.  this is the closest i have ever came to the end.",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",2
19-24,Other,11/3/2010,lyrica,93965,5,5, ,5,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
45-54,Other,11/1/2010,lyrica,93965,5,5,"I was on this medication when it was an investegational med for Social Phobia. Why it became the med for the other stuff, I don't know. If you have fears about people and/or situations, this med could be for you. It works within 24hrs. I was taking 600mg at the time of the study. It will make you gain weight. And a lot of anger issues will come up. It does work as far as the Social Anxiety stuff. But if you already have anger issues, be careful. It does however take the fear away very quickly. I would not say it is a bad drug, but lower dosages would be advisable. ",3,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
65-74,Neuropathic Pain,10/29/2010,lyrica,93965,3,1,"I have a neurogenic bladder. After six weeks on Lyrica, I had suffered three urinary infections.  Never again!  Further investigation is needed by the FDA. Does Lyrica kill good bacteria?",1,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",6
45-54,Other,10/29/2010,lyrica,93965,5,3,"I was prescribed Lyrica by my psychiatrist as an adjunct to antianxiety and antidepressant medication. At first it had a very relaxing, calming effect, and I thought, I have found the right drug for me! But the effect quickly wore off, and I asked to stop taking it after hearing of so many potential side effects.",3,Male,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
55-64,Neuropathic Pain,10/26/2010,lyrica,93965,1,1,"Caused headaches, edema and general weight gain and interacted with my anti-seizure meds and anti-depressants
",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",10
55-64,Other,10/25/2010,lyrica,93965,4,4,pinched nerve in lower back,4,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0
25-34,Other,10/24/2010,lyrica,93965,1,1,"I had a friend who was diagnosed with Fibromyalgia recently.  He was prescribed Lyrica.  On Monday, October 18, 2010, he took his own life.  He was only 30 years old. He left behind a wife, and three young children.  He had never had suicidal tendencies before taking this drug.  WHY is this drug on the market if it causes such adverse effects such as this??? WHY??? He is not the only person I know who has had these kinds of thoughts and thus attempted to act upon those thoughts as a result of taking this drug. THIS DRUG NEEDS TO BE TAKEN OFF THE MARKET NOW!!!",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",2
55-64,"Disorder characterized by Stiff, Tender & Painful Muscles",10/23/2010,lyrica,93965,5,1,"I had mild visual hallucinations after a week on it. No help with pain, sleep or depression. After two days of hallucinations, I quit!",1,Female,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",2
